Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"MS.Utility.DTypeMap.get_Item(class System.Windows.DependencyObjectType)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.FrugalObjectList`1.get_Item(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.SixItemList`1.EntryAt(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.ThreeObjectMap.Search(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Win32.UnsafeNativeMethods.MsgWaitForMultipleObjectsEx(int32,native int[],int32,int32,int32)",2,"0,21",3,"0,32",0,0,0,0,
"Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",2,"0,21",83,"8,74",217,25,217,58,
"System.Array.BinarySearch(!!0[],int32,int32,!!0,class System.Collections.Generic.IComparer`1<!!0>)",2,"0,21",3,"0,32",0,0,0,0,
"System.Array.Copy(class System.Array,int64,class System.Array,int64,int64)",2,"0,21",2,"0,21",0,0,0,0,
"System.Collections.ArrayList.get_Count()",2,"0,21",2,"0,21",0,0,0,0,
"System.IO.UnmanagedMemoryStream.ReadByte()",2,"0,21",2,"0,21",0,0,0,0,
"System.Nullable`1.get_Value()",2,"0,21",2,"0,21",0,0,0,0,
"System.RuntimeType.GetBaseType()",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.ExecutionContext.Capture(valuetype System.Threading.StackCrawlMark&,valuetype System.Threading.ExecutionContext/CaptureOptions)",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.SynchronizationContext.get_Current()",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.SynchronizationContext.SetSynchronizationContext(class System.Threading.SynchronizationContext)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.ClassHandlersStore.GetHandlersIndex(class System.Windows.RoutedEvent)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.DependencyObject.get_DependencyObjectType()",2,"0,21",3,"0,32",0,0,0,0,
"System.Windows.DependencyObject.GetEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,valuetype System.Windows.RequestFlags)",2,"0,21",6,"0,63",0,0,0,0,
"System.Windows.EffectiveValueEntry.EnsureModifiedValue(bool)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.EffectiveValueEntry.GetFlattenedEntry(valuetype System.Windows.RequestFlags)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.EventRoute.GetBubbleSource(int32,int32&)",2,"0,21",8,"0,84",0,0,0,0,
"System.Windows.EventRoute.PeekBranchNode()",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.EventRouteFactory.Push(class System.Windows.EventRoute)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Input.InputElement.GetContainingVisual(class System.Windows.DependencyObject)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Media.Animation.Clock.ComputeNextTickNeededTime(valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.TimeSpan,float64)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Media.Animation.DoubleAnimationUsingKeyFrames.GetCurrentValueCore(float64,float64,class System.Windows.Media.Animation.AnimationClock)",2,"0,21",4,"0,42",0,0,0,0,
"System.Windows.Media.Animation.Storyboard.GetComplexPathClone(class System.Windows.DependencyObject,class System.Windows.DependencyProperty)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Media.Matrix.get_Identity()",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Media.Visual.Enter()",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Media.Visual.PrecomputeRecursive(valuetype System.Windows.Rect&)",2,"0,21",14,"1,47",0,0,0,0,
"System.Windows.Media.Visual.UpdateChildren(class System.Windows.Media.RenderContext,valuetype System.Windows.Media.Composition.DUCE/ResourceHandle)",2,"0,21",3,"0,32",0,0,0,0,
"System.Windows.Media.VisualCollection.get_Item(int32)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.ResourceDictionary.GetBamlObjectFactory(object)",2,"0,21",10,"1,05",0,0,0,0,
"System.Windows.ResourceDictionary.GetValueWithoutLock(object,bool&)",2,"0,21",9,"0,95",0,0,0,0,
"System.Windows.Shell.WindowChromeWorker._WndProc(native int,int32,native int,native int,bool&)",2,"0,21",44,"4,63",0,0,0,0,
"System.Windows.Threading.Dispatcher.get_CurrentDispatcher()",2,"0,21",3,"0,32",0,0,0,0,
"System.Windows.Threading.Dispatcher.VerifyAccess()",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.Threading.PriorityQueue`1.get_MaxPriority()",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.UIElement.OnPreviewMouseMoveThunk(object,class System.Windows.Input.MouseEventArgs)",2,"0,21",2,"0,21",0,0,0,0,
"[IMM32.DLL]",1,"0,11",1,"0,11",0,0,0,0,
"[mscorlib.dll]",1,"0,11",1,"0,11",0,0,0,0,
"[ntshrui.dll]",1,"0,11",1,"0,11",0,0,0,0,
"[SamplingRuntime.dll]",1,"0,11",1,"0,11",0,0,0,0,
"Bio.IO.AppliedBiosystems.Ab1Parser..ctor()",1,"0,11",2,"0,21",0,0,0,0,
"Bio.IO.FastA.FastAParser.<Parse>d__0.MoveNext()",1,"0,11",1,"0,11",0,0,0,0,
"Bio.Registration.RegisteredAddIn.GetComposedInstancesFromAssemblyPath(string,string,string)",1,"0,11",58,"6,11",0,0,0,0,
"FirstFloor.ModernUI.Presentation.RelayCommand.OnExecute(object)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Classification.CharAttributeOf(int32)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Classification.GetUnicodeClassUTF16(char)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.CopyOnWriteList.get_List()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.DoubleUtil.RectHasNaN(valuetype System.Windows.Rect)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.FontCache.Util.get_PixelsPerDip()",1,"0,11",8,"0,84",0,0,0,0,
"MS.Internal.FrameworkObject..ctor(class System.Windows.DependencyObject)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.FrameworkObject.Reset(class System.Windows.DependencyObject)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Invariant.Assert(bool,string)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.MatrixUtil.MultiplyMatrix(valuetype System.Windows.Media.Matrix&,valuetype System.Windows.Media.Matrix&)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Media.VisualTreeUtils.AsVisual(class System.Windows.DependencyObject,class System.Windows.Media.Visual&,class System.Windows.Media.Media3D.Visual3D&)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Text.DynamicPropertyReader.GetTypeface(class System.Windows.DependencyObject)",1,"0,11",4,"0,42",0,0,0,0,
"MS.Internal.Text.SimpleLine.GetTextRun(int32)",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Text.TextInterface.Factory.GetIdentityTransform()",1,"0,11",1,"0,11",0,0,0,0,
"MS.Internal.Text.TextInterface.Font.GetFontFace()",1,"0,11",1,"0,11",0,0,0,0,
