Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[clr.dll]","System.Reflection.RuntimeConstructorInfo.Invoke(valuetype System.Reflection.BindingFlags,class System.Reflection.Binder,object[],class System.Globalization.CultureInfo)",2,0,"0,21","0,00",
"Caller","[clr.dll]","System.Reflection.RuntimeModule.GetTypes()",13,0,"1,37","0,00",
"Caller","[clr.dll]","System.Reflection.RuntimePropertyInfo..ctor(int32,class System.RuntimeType,class System.RuntimeType/RuntimeTypeCache,bool&)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Reflection.RuntimePropertyInfo.get_Signature()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.RuntimeType.CreateInstanceSlow(bool,bool,bool,valuetype System.Threading.StackCrawlMark&)",12,0,"1,26","0,00",
"Caller","[clr.dll]","System.RuntimeType.get_Assembly()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.RuntimeType.GetBaseType()",2,0,"0,21","0,00",
"Caller","[clr.dll]","System.RuntimeType.GetHashCode()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.RuntimeType.ListBuilder`1.Add(!0)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateLiteralFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimeFieldInfo>&)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,class System.Collections.Generic.Dictionary`2<string,class System.Collections.Generic.List`1<class System.Reflection.RuntimePropertyInfo>>,bool[],valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimePropertyInfo>&)",8,1,"0,84","0,11",
"Caller","[clr.dll]","System.Security.SecurityContext.CurrentlyInDefaultFTSecurityContext(valuetype System.Threading.ExecutionContext/Reader)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Security.SecurityRuntime.RevertAssert(valuetype System.Threading.StackCrawlMark&)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.StubHelpers.StubHelpers.SafeHandleRelease(class System.Runtime.InteropServices.SafeHandle)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Threading.ExecutionContext.Capture(valuetype System.Threading.StackCrawlMark&,valuetype System.Threading.ExecutionContext/CaptureOptions)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Threading.LazyInitializer.EnsureInitializedCore(!!0&,class System.Func`1<!!0>)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Threading.SynchronizationContext.SetSynchronizationContext(class System.Threading.SynchronizationContext)",2,2,"0,21","0,21",
"Caller","[clr.dll]","System.Threading.SynchronizationContext.SetWaitNotificationRequired()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Controls.TextBoxLine.HandleText(valuetype System.Windows.Documents.StaticTextPointer)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.DependencyObject.get_DependencyObjectType()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.DependencyProperty.GetMetadata(class System.Windows.DependencyObjectType)",3,3,"0,32","0,32",
"Caller","[clr.dll]","System.Windows.EffectiveValueEntry.EnsureModifiedValue(bool)",2,0,"0,21","0,00",
"Caller","[clr.dll]","System.Windows.EffectiveValueEntry.GetFlattenedEntry(valuetype System.Windows.RequestFlags)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.FrameworkElement.AddStyleHandlersToEventRoute(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.FrameworkElement.AdjustEventSource(class System.Windows.RoutedEventArgs)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.FrameworkElement.ApplyTemplate()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Windows.FrameworkElement.BuildRouteCoreHelper(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs,bool)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Freezable.get_SingletonContext()",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Freezable.GetChangeHandlersAndInvalidateSubProperties(class System.Windows.Freezable/EventStorage&)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.Windows.Input.InputElement.GetContainingVisual(class System.Windows.DependencyObject)",2,2,"0,21","0,21",
"Caller","[clr.dll]","System.Windows.Input.InputElement.IsValid(class System.Windows.IInputElement)",1,1,"0,11","0,11",
