Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"MS.Utility.FrugalStructList`1.get_Item(int32)",2,"0,21",0x61B996D3,0,0,0,0,
"MS.Utility.FrugalStructList`1.get_Item(int32)",2,"0,21",0x61B996E8,0,0,0,0,
"MS.Utility.ThreeObjectMap.Search(int32)",2,"0,21",0x6A4FBA31,0,0,0,0,
"MS.Win32.UnsafeNativeMethods.MsgWaitForMultipleObjectsEx(int32,native int[],int32,int32,int32)",2,"0,21",0x6A4EEA62,0,0,0,0,
"Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",2,"0,21",0x005A7E4F,217,25,217,58,
"System.Array.Copy(class System.Array,int64,class System.Array,int64,int64)",2,"0,21",0x6F85A5CC,0,0,0,0,
"System.Collections.ArrayList.get_Count()",2,"0,21",0x6F840223,0,0,0,0,
"System.MulticastDelegate.GetInvocationList()",2,"0,21",0x6F7D90E7,0,0,0,0,
"System.Nullable`1.get_Value()",2,"0,21",0x6F8620F0,0,0,0,0,
"System.Reflection.CustomAttributeData.GetCustomAttributeRecords(class System.Reflection.RuntimeModule,int32)",2,"0,21",0x6F859734,0,0,0,0,
"System.Reflection.CustomAttributeData.GetCustomAttributeRecords(class System.Reflection.RuntimeModule,int32)",2,"0,21",0x6F859761,0,0,0,0,
"System.Reflection.MemberInfo.op_Equality(class System.Reflection.MemberInfo,class System.Reflection.MemberInfo)",2,"0,21",0x6F7DB41C,0,0,0,0,
"System.RuntimeType.GetBaseType()",2,"0,21",0x6F7D377A,0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",2,"0,21",0x6F7DBEA3,0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",2,"0,21",0x6F7DBEAD,0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",2,"0,21",0x6F7DBEB0,0,0,0,0,
"System.Threading.SynchronizationContext.SetSynchronizationContext(class System.Threading.SynchronizationContext)",2,"0,21",0x6F857CEC,0,0,0,0,
"System.Windows.DependencyObject.GetValue(class System.Windows.DependencyProperty)",2,"0,21",0x6A4F52BF,0,0,0,0,
"System.Windows.DependencyObject.LookupEntry(int32)",2,"0,21",0x6A4F1E30,0,0,0,0,
"System.Windows.DependencyObjectType.IsInstanceOfType(class System.Windows.DependencyObject)",2,"0,21",0x6A4F52E9,0,0,0,0,
"System.Windows.EffectiveValueEntry.EnsureModifiedValue(bool)",2,"0,21",0x6A4F6314,0,0,0,0,
"System.Windows.FrameworkElement.AddStyleHandlersToEventRoute(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",2,"0,21",0x5ED93154,0,0,0,0,
"System.Windows.Input.InputElement.GetContainingVisual(class System.Windows.DependencyObject)",2,"0,21",0x61B8E086,0,0,0,0,
"System.Windows.Media.Visual.Enter()",2,"0,21",0x61BAEE83,0,0,0,0,
"System.Windows.Media.Visual.PrecomputeRecursive(valuetype System.Windows.Rect&)",2,"0,21",0x61BAEC0F,0,0,0,0,
"System.Windows.Media.Visual.UpdateChildren(class System.Windows.Media.RenderContext,valuetype System.Windows.Media.Composition.DUCE/ResourceHandle)",2,"0,21",0x61BB0E81,0,0,0,0,
"System.Windows.Media.VisualCollection.get_Item(int32)",2,"0,21",0x61B92C01,0,0,0,0,
"System.Windows.ResourceDictionary.GetBamlObjectFactory(object)",2,"0,21",0x5ED70EAE,0,0,0,0,
"System.Windows.ResourceDictionary.GetValueWithoutLock(object,bool&)",2,"0,21",0x5ED719B6,0,0,0,0,
"System.Windows.RoutedEventArgs.set_Source(object)",2,"0,21",0x61B985CB,0,0,0,0,
"[clr.dll]",1,"0,11",0x7061BF03,0,0,0,0,
"[clr.dll]",1,"0,11",0x70635797,0,0,0,0,
"[clr.dll]",1,"0,11",0x70642C38,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD0B346,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD14C72,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD2F1D2,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD2F468,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD306E8,0,0,0,0,
"[comctl32.dll]",1,"0,11",0x6DD934F4,0,0,0,0,
