Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"FirstFloor.ModernUI.Windows.Controls.ModernMenu.OnSelectedLinkChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.ModernMenu.OnSelectedLinkGroupChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.TransitioningContentControl.AbortTransition()",4,0,"0,42","0,00",
"FirstFloor.ModernUI.Windows.Controls.TransitioningContentControl.OnContentChanged(object,object)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.Controls.TransitioningContentControl.OnTransitionCompleted(object,class System.EventArgs)",4,0,"0,42","0,00",
"FirstFloor.ModernUI.Windows.Controls.TransitioningContentControl.StartTransition(object,object)",7,0,"0,74","0,00",
"FirstFloor.ModernUI.Windows.DefaultContentLoader.<>c__DisplayClass1.<LoadContentAsync>b__0()",12,0,"1,26","0,00",
"FirstFloor.ModernUI.Windows.DefaultContentLoader.LoadContent(class System.Uri)",12,0,"1,26","0,00",
"Microsoft.Win32.CommonDialog.ShowDialog()",77,0,"8,11","0,00",
"Microsoft.Win32.FileDialog.HandleVistaFileOk(class MS.Internal.AppModel.IFileDialog)",2,0,"0,21","0,00",
"Microsoft.Win32.FileDialog.MessageBoxWithFocusRestore(string,valuetype System.Windows.MessageBoxButton,valuetype System.Windows.MessageBoxImage)",2,0,"0,21","0,00",
"Microsoft.Win32.FileDialog.ProcessFileNames()",2,0,"0,21","0,00",
"Microsoft.Win32.FileDialog.RunDialog(native int)",77,0,"8,11","0,00",
"Microsoft.Win32.FileDialog.RunVistaDialog(native int)",77,0,"8,11","0,00",
"Microsoft.Win32.FileDialog.VistaDialogEvents.MS.Internal.AppModel.IFileDialogEvents.OnFileOk(class MS.Internal.AppModel.IFileDialog)",2,0,"0,21","0,00",
"Microsoft.Win32.SaveFileDialog.PromptFileOverwrite(string)",2,0,"0,21","0,00",
"Microsoft.Win32.SaveFileDialog.PromptUserIfAppropriate(string)",2,0,"0,21","0,00",
"MS.Internal.AppModel.AppModelKnownContentFactory.BamlConverter(class System.IO.Stream,class System.Uri,bool,bool,bool,bool,class System.Windows.Markup.XamlReader&)",1,0,"0,11","0,00",
"MS.Internal.AppModel.BamlStream.ReadByte()",1,0,"0,11","0,00",
"MS.Internal.AppModel.MimeObjectFactory.GetObjectAndCloseStream(class System.IO.Stream,class MS.Internal.ContentType,class System.Uri,bool,bool,bool,bool,class System.Windows.Markup.XamlReader&)",1,0,"0,11","0,00",
"MS.Internal.Commands.CommandHelpers.CanExecuteCommandSource(class System.Windows.Input.ICommandSource)",9,0,"0,95","0,00",
"MS.Internal.Commands.CommandHelpers.CriticalExecuteCommandSource(class System.Windows.Input.ICommandSource,bool)",1,0,"0,11","0,00",
"MS.Internal.CopyOnWriteList.get_List()",1,0,"0,11","0,00",
"MS.Internal.Data.ClrBindingWorker.AttachDataItem()",1,0,"0,11","0,00",
"MS.Internal.Data.ClrBindingWorker.UpdateValue(object)",7,0,"0,74","0,00",
"MS.Internal.Data.DataBindEngine.Run(object)",1,0,"0,11","0,00",
"MS.Internal.Data.DataBindEngine.Task.Run(bool)",1,0,"0,11","0,00",
"MS.Internal.Data.EnumerableCollectionView._OnViewChanged(object,class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"MS.Internal.Data.PropertyPathWorker.GetInfo(int32,object,valuetype MS.Internal.Data.PropertyPathWorker/SourceValueState&)",1,0,"0,11","0,00",
"MS.Internal.Data.PropertyPathWorker.ReplaceItem(int32,object,object)",1,0,"0,11","0,00",
"MS.Internal.Data.PropertyPathWorker.SetValue(object,object)",7,0,"0,74","0,00",
"MS.Internal.Data.PropertyPathWorker.UpdateSourceValueState(int32,class System.ComponentModel.ICollectionView,object,bool)",1,0,"0,11","0,00",
"MS.Internal.Data.StaticPropertyChangedEventManager.Purge(object,object,bool)",1,0,"0,11","0,00",
"MS.Internal.Data.StaticPropertyChangedEventManager.TypeRecord.Purge(bool)",1,0,"0,11","0,00",
"MS.Internal.Data.StaticPropertyChangedEventManager.TypeRecord.StopListening()",1,0,"0,11","0,00",
"MS.Internal.FontCache.FontFaceLayoutInfo.IntMap.TryGetValues(uint32*,uint32,uint16*)",3,0,"0,32","0,00",
"MS.Internal.FontFace.PhysicalFontFamily.MS.Internal.FontFace.IFontFamily.Baseline(float64,float64,float64,valuetype System.Windows.Media.TextFormattingMode)",1,0,"0,11","0,00",
"MS.Internal.FontFace.PhysicalFontFamily.MS.Internal.FontFace.IFontFamily.LineSpacing(float64,float64,float64,valuetype System.Windows.Media.TextFormattingMode)",3,0,"0,32","0,00",
"MS.Internal.FrameworkObject..ctor(class System.Windows.DependencyObject,bool)",1,0,"0,11","0,00",
"MS.Internal.FrameworkObject.get_FrameworkParent()",1,0,"0,11","0,00",
"MS.Internal.Helper.ArrangeElementWithSingleChild(class System.Windows.UIElement,valuetype System.Windows.Size)",21,0,"2,21","0,00",
"MS.Internal.Helper.MeasureElementWithSingleChild(class System.Windows.UIElement,valuetype System.Windows.Size)",13,0,"1,37","0,00",
"MS.Internal.Invariant.Assert(bool,string)",1,0,"0,11","0,00",
"MS.Internal.LoadedOrUnloadedOperation.DoWork()",1,0,"0,11","0,00",
"MS.Internal.Media.VisualTreeUtils.AsNonNullVisual(class System.Windows.DependencyObject,class System.Windows.Media.Visual&,class System.Windows.Media.Media3D.Visual3D&)",1,0,"0,11","0,00",
"MS.Internal.PointUtil.AdjustForRightToLeft(class MS.Win32.NativeMethods/POINT,valuetype System.Runtime.InteropServices.HandleRef)",1,0,"0,11","0,00",
"MS.Internal.PointUtil.ScreenToClient(valuetype System.Windows.Point,class System.Windows.PresentationSource)",1,0,"0,11","0,00",
"MS.Internal.PointUtil.TryApplyVisualTransform(valuetype System.Windows.Point,class System.Windows.Media.Visual,bool,bool,bool&)",1,0,"0,11","0,00",
"MS.Internal.PointUtil.TryClientToRoot(valuetype System.Windows.Point,class System.Windows.PresentationSource,bool,bool&)",1,0,"0,11","0,00",
"MS.Internal.PrePostDescendentsWalker`1._VisitNode(class System.Windows.DependencyObject,bool)",22,0,"2,32","0,00",
"MS.Internal.PrePostDescendentsWalker`1.StartWalk(class System.Windows.DependencyObject,bool)",22,0,"2,32","0,00",
"MS.Internal.PresentationCore.SafeSecurityHelper.GetAssemblyPartialName(class System.Reflection.Assembly)",1,0,"0,11","0,00",
"MS.Internal.ShutDownListener.HandleShutDown(object,class System.EventArgs)",1,0,"0,11","0,00",
"MS.Internal.SpanVector.Set(int32,int32,object,class MS.Internal.Equals,valuetype MS.Internal.SpanPosition)",1,0,"0,11","0,00",
"MS.Internal.Text.DynamicPropertyReader.GetTypeface(class System.Windows.DependencyObject)",4,0,"0,42","0,00",
"MS.Internal.Text.Line.Format(int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextLineBreak,class System.Windows.Media.TextFormatting.TextRunCache,bool)",14,0,"1,47","0,00",
"MS.Internal.Text.Line.get_IsWidthAdjusted()",2,0,"0,21","0,00",
"MS.Internal.Text.Line.get_ShowEllipsis()",2,0,"0,21","0,00",
"MS.Internal.Text.Line.get_Width()",1,0,"0,11","0,00",
"MS.Internal.Text.Line.Render(class System.Windows.Media.DrawingContext,valuetype System.Windows.Point)",4,0,"0,42","0,00",
"MS.Internal.Text.LineProperties..ctor(class System.Windows.DependencyObject,class System.Windows.DependencyObject,class MS.Internal.Text.TextProperties,class MS.Internal.Text.MarkerProperties,valuetype System.Windows.TextAlignment)",1,0,"0,11","0,00",
"MS.Internal.Text.SimpleLine.GetTextRun(int32)",1,0,"0,11","0,00",
"MS.Internal.Text.TextInterface.Factory.GetIdentityTransform()",1,0,"0,11","0,00",
"MS.Internal.Text.TextInterface.Font.DisplayMetrics(float32,float32)",5,0,"0,53","0,00",
"MS.Internal.Text.TextInterface.FontFace.GetArrayOfGlyphIndices(uint32 modopt(System.Runtime.CompilerServices.IsConst)*,uint32,uint16*)",2,0,"0,21","0,00",
"MS.Internal.Text.TextInterface.Generics.NativeIUnknownWrapper<MS::Internal::Text::TextInterface::Native::IDWriteFont>.ReleaseHandle()",1,0,"0,11","0,00",
"MS.Internal.Text.TextProperties..ctor(class System.Windows.FrameworkElement,bool)",5,0,"0,53","0,00",
"MS.Internal.Text.TextProperties.InitCommon(class System.Windows.DependencyObject)",5,0,"0,53","0,00",
"MS.Internal.TextFormatting.FormatSettings.FetchTextRun(int32,int32,class System.Windows.Media.TextFormatting.TextRun&,int32&)",3,0,"0,32","0,00",
"MS.Internal.TextFormatting.LineServicesCallbacks.AdjustMetricsForDisplayModeJustifiedText(char*,int32*,int32,bool,int32,int32,valuetype System.Windows.Point&,class System.Collections.Generic.IList`1<float64>&)",1,0,"0,11","0,00",
"MS.Internal.TextFormatting.LineServicesCallbacks.ComputeUnshapedGlyphRun(class MS.Internal.TextFormatting.LSRun,valuetype MS.Internal.TextFormatting.LsTFlow,class MS.Internal.TextFormatting.TextFormatterImp,bool,valuetype MS.Internal.TextFormatting.LSPOINT,int32,int32,char*,int32*,bool)",1,0,"0,11","0,00",
"MS.Internal.TextFormatting.LineServicesCallbacks.DrawTextRun(native int,valuetype MS.Internal.TextFormatting.Plsrun,valuetype MS.Internal.TextFormatting.LSPOINT&,char*,int32*,int32,valuetype MS.Internal.TextFormatting.LsTFlow,uint32,valuetype MS.Internal.TextFormatting.LSPOINT&,valuetype MS.Internal.TextFormatting.LsHeights&,int32,valuetype MS.Internal.TextFormatting.LSRECT&)",5,0,"0,53","0,00",
"MS.Internal.TextFormatting.LineServicesCallbacks.FetchRunRedefined(native int,int32,int32,native int,char*,int32,int32&,char*&,int32&,int32&,valuetype MS.Internal.TextFormatting.LsChp&,native int&)",1,0,"0,11","0,00",
"MS.Internal.TextFormatting.LineServicesCallbacks.GetRunCharWidths(native int,valuetype MS.Internal.TextFormatting.Plsrun,valuetype MS.Internal.TextFormatting.LsDevice,char*,int32,int32,valuetype MS.Internal.TextFormatting.LsTFlow,int32*,int32&,int32&)",2,0,"0,21","0,00",
"MS.Internal.TextFormatting.LSRun.DrawGlyphRun(class System.Windows.Media.DrawingContext,class System.Windows.Media.Brush,class System.Windows.Media.GlyphRun)",4,0,"0,42","0,00",
"MS.Internal.TextFormatting.SimpleRun.Create(class MS.Internal.TextFormatting.FormatSettings,valuetype System.Windows.Media.TextFormatting.CharacterBufferRange,class System.Windows.Media.TextFormatting.TextRun,int32,int32,int32,int32,int32)",12,0,"1,26","0,00",
"MS.Internal.TextFormatting.SimpleRun.CreateSimpleTextRun(valuetype System.Windows.Media.TextFormatting.CharacterBufferRange,class System.Windows.Media.TextFormatting.TextRun,class MS.Internal.TextFormatting.TextFormatterImp,int32,bool,bool)",12,0,"1,26","0,00",
"MS.Internal.TextFormatting.SimpleRun.Draw(class System.Windows.Media.DrawingContext,float64,float64,bool)",2,0,"0,21","0,00",
"MS.Internal.TextFormatting.SimpleRun.get_Baseline()",1,0,"0,11","0,00",
"MS.Internal.TextFormatting.SimpleRun.get_Height()",4,0,"0,42","0,00",
"MS.Internal.TextFormatting.SimpleTextLine..ctor(class MS.Internal.TextFormatting.FormatSettings,int32,int32,class System.Collections.ArrayList,int32&,int32&)",8,0,"0,84","0,00",
"MS.Internal.TextFormatting.SimpleTextLine.Create(class MS.Internal.TextFormatting.FormatSettings,int32,int32)",23,0,"2,42","0,00",
"MS.Internal.TextFormatting.SimpleTextLine.Draw(class System.Windows.Media.DrawingContext,valuetype System.Windows.Point,valuetype System.Windows.Media.TextFormatting.InvertAxes)",2,0,"0,21","0,00",
"MS.Internal.TextFormatting.SimpleTextLine.DrawTextLine(class System.Windows.Media.DrawingContext,valuetype System.Windows.Point)",2,0,"0,21","0,00",
"MS.Internal.TextFormatting.TextFormatterImp.FormatLine(class System.Windows.Media.TextFormatting.TextSource,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextLineBreak,class System.Windows.Media.TextFormatting.TextRunCache)",27,0,"2,84","0,00",
"MS.Internal.TextFormatting.TextFormatterImp.FormatLineInternal(class System.Windows.Media.TextFormatting.TextSource,int32,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextLineBreak,class System.Windows.Media.TextFormatting.TextRunCache)",27,0,"2,84","0,00",
"MS.Internal.TextFormatting.TextFormatterImp.IdealToReal(float64)",3,0,"0,32","0,00",
"MS.Internal.TextFormatting.TextFormatterImp.PrepareFormatSettings(class System.Windows.Media.TextFormatting.TextSource,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextLineBreak,class System.Windows.Media.TextFormatting.TextRunCache,bool,bool,valuetype System.Windows.Media.TextFormattingMode)",1,0,"0,11","0,00",
"MS.Internal.TextFormatting.TextMetrics.FullTextLine.Draw(class System.Windows.Media.DrawingContext,valuetype System.Windows.Point,valuetype System.Windows.Media.TextFormatting.InvertAxes)",5,0,"0,53","0,00",
"MS.Internal.TextFormatting.TextMetrics.FullTextLine.DrawTextLine(class System.Windows.Media.DrawingContext,valuetype System.Windows.Point,class System.Windows.Media.MatrixTransform)",5,0,"0,53","0,00",
"MS.Internal.TextFormatting.TextMetrics.FullTextLine.FormatLine(class MS.Internal.TextFormatting.FullTextState,int32,int32,int32,int32,int32,valuetype MS.Internal.TextFormatting.LineFlags,class MS.Internal.TextFormatting.FormattedTextSymbols)",3,0,"0,32","0,00",
"MS.Internal.TextFormatting.TextRunCacheImp.FetchTextRun(class MS.Internal.TextFormatting.FormatSettings,int32,int32,int32&,int32&)",3,0,"0,32","0,00",
"MS.Internal.TextServicesLoader.Load()",3,0,"0,32","0,00",
"MS.Internal.Threading.ExceptionFilterHelper.TryCatchWhen(object,class System.Delegate,object,int32,class System.Delegate)",495,0,"52,11","0,00",
"MS.Internal.UIElementHelper.GetUIParent(class System.Windows.DependencyObject,bool)",5,0,"0,53","0,00",
"MS.Internal.UIElementHelper.IsHitTestVisible(class System.Windows.DependencyObject)",2,0,"0,21","0,00",
"MS.Internal.UIElementHelper.IsUIElementOrUIElement3D(class System.Windows.DependencyObject)",3,0,"0,32","0,00",
"MS.Internal.UIElementHelper.IsVisible(class System.Windows.DependencyObject)",1,0,"0,11","0,00",
"MS.Internal.WeakEventTable.Purge(bool)",1,0,"0,11","0,00",
"MS.Internal.WeakEventTable.WeakEventTableShutDownListener.OnShutDown(object,object,class System.EventArgs)",1,0,"0,11","0,00",
"MS.Internal.WpfWebRequestHelper.GetContentType(class System.Net.WebResponse)",1,0,"0,11","0,00",
"MS.Internal.WpfWebRequestHelper.GetResponseStream(class System.Net.WebRequest,class MS.Internal.ContentType&)",1,0,"0,11","0,00",
"MS.Internal.Xaml.Context.XamlContextStack`1.PushScope()",1,0,"0,11","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.Add(object,class System.Xaml.XamlType,object,class System.Xaml.XamlType)",2,0,"0,21","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.CreateInstance(class System.Xaml.XamlType,object[])",12,0,"1,26","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.CreateInstanceWithCtor(class System.Xaml.XamlType,object[])",12,0,"1,26","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.InitializationGuard(class System.Xaml.XamlType,object,bool)",2,0,"0,21","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.SetValue(class System.Xaml.XamlMember,object,object)",2,0,"0,21","0,00",
"MS.Internal.Xaml.Runtime.ClrObjectRuntime.SetValue(object,class System.Xaml.XamlMember,object)",2,0,"0,21","0,00",
"MS.Utility.ArrayItemList`1.Add(!0)",1,0,"0,11","0,00",
"MS.Utility.ArrayItemList`1.Clear()",1,0,"0,11","0,00",
"MS.Utility.FrugalMap.get_Item(int32)",1,0,"0,11","0,00",
"MS.Utility.FrugalObjectList`1.Add(!0)",1,0,"0,11","0,00",
"MS.Utility.FrugalStructList`1.Add(!0)",1,0,"0,11","0,00",
"MS.Utility.FrugalStructList`1.Add(!0)",2,0,"0,21","0,00",
"MS.Utility.FrugalStructList`1.Clear()",1,0,"0,11","0,00",
"MS.Utility.FrugalStructList`1.get_Item(int32)",3,0,"0,32","0,00",
"MS.Utility.SingleItemList`1.Add(!0)",1,0,"0,11","0,00",
"MS.Win32.HwndSubclass.DefWndProcWrapper(native int,int32,native int,native int)",3,0,"0,32","0,00",
"MS.Win32.HwndSubclass.SubclassWndProc(native int,int32,native int,native int)",504,0,"53,05","0,00",
"MS.Win32.HwndWrapper.WndProc(native int,int32,native int,native int,bool&)",494,0,"52,00","0,00",
"MS.Win32.SafeNativeMethods.GetWindowStyle(valuetype System.Runtime.InteropServices.HandleRef,bool)",1,0,"0,11","0,00",
"MS.Win32.SafeNativeMethods.QueryPerformanceCounter(int64&)",1,0,"0,11","0,00",
"MS.Win32.SafeNativeMethods.ReleaseCapture()",4,0,"0,42","0,00",
"MS.Win32.SafeNativeMethods.SetCursor(class System.Runtime.InteropServices.SafeHandle)",1,0,"0,11","0,00",
"MS.Win32.UnsafeNativeMethods.MsgWaitForMultipleObjectsEx(int32,native int[],int32,int32,int32)",3,0,"0,32","0,00",
"MS.Win32.UnsafeNativeMethods.WindowFromPoint(int32,int32)",4,0,"0,42","0,00",
"Mufasa.App.Main()",516,0,"54,32","0,00",
"Mufasa.BackEnd.Designer.Construct.SaveAsBio(string)",2,0,"0,21","0,00",
"Mufasa.BackEnd.Designer.Designer.AddFragment(string,string)",80,0,"8,42","0,00",
"Mufasa.BackEnd.Designer.Designer.ParseFile(string)",61,0,"6,42","0,00",
"Mufasa.BackEnd.Designer.Designer.ParseFragment(class Bio.IO.ISequenceParser,string)",2,0,"0,21","0,00",
"Mufasa.BackEnd.Designer.Designer.SequenceTooShort(string,string,class Mufasa.BackEnd.Exceptions.SequenceLengthException)",19,0,"2,00","0,00",
"Mufasa.Pages.Design.fragmentListBox_SelectionChanged(object,class System.Windows.Controls.SelectionChangedEventArgs)",1,0,"0,11","0,00",
"Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",122,0,"12,84","0,00",
"Mufasa.Pages.Design.overButton_Click(object,class System.Windows.RoutedEventArgs)",19,0,"2,00","0,00",
"Mufasa.Pages.Design.saveButton_Click(object,class System.Windows.RoutedEventArgs)",22,0,"2,32","0,00",
"Mufasa.Pages.Settings.Appearance..ctor()",11,0,"1,16","0,00",
"Mufasa.Pages.Settings.Appearance.InitializeComponent()",2,0,"0,21","0,00",
"Mufasa.Pages.Settings.AppearanceViewModel..ctor()",9,0,"0,95","0,00",
"Mufasa.Pages.Settings.AppearanceViewModel.set_SelectedAccentColor(valuetype System.Windows.Media.Color)",5,0,"0,53","0,00",
"Mufasa.Pages.Settings.AppearanceViewModel.set_SelectedTheme(class FirstFloor.ModernUI.Presentation.Link)",4,0,"0,42","0,00",
"Mufasa.Pages.Settings.AppearanceViewModel.SyncThemeAndColor()",9,0,"0,95","0,00",
"Mufasa.Pages.SettingsPage..ctor()",1,0,"0,11","0,00",
"Mufasa.Pages.SettingsPage.InitializeComponent()",1,0,"0,11","0,00",
"System.__ComObject.ReleaseSelf()",1,0,"0,11","0,00",
"System.Activator.CreateInstance(class System.Type,bool)",12,0,"1,26","0,00",
"System.Activator.CreateInstance(class System.Type,object[])",12,0,"1,26","0,00",
"System.Activator.CreateInstance(class System.Type,valuetype System.Reflection.BindingFlags,class System.Reflection.Binder,object[],class System.Globalization.CultureInfo,object[])",12,0,"1,26","0,00",
"System.Array.BinarySearch(!!0[],int32,int32,!!0,class System.Collections.Generic.IComparer`1<!!0>)",1,0,"0,11","0,00",
"System.Array.Copy(class System.Array,int64,class System.Array,int64,int64)",2,0,"0,21","0,00",
"System.Collections.ArrayList.ReadOnlyArrayList.get_Count()",2,0,"0,21","0,00",
"System.Collections.Generic.Dictionary`2.FindEntry(!0)",2,0,"0,21","0,00",
"System.Collections.Generic.Dictionary`2.TryGetValue(!0,!1&)",2,0,"0,21","0,00",
"System.Collections.Generic.GenericArraySortHelper`1.BinarySearch(!0[],int32,int32,!0)",1,0,"0,11","0,00",
"System.Collections.Generic.GenericArraySortHelper`1.BinarySearch(!0[],int32,int32,!0,class System.Collections.Generic.IComparer`1<!0>)",1,0,"0,11","0,00",
"System.Collections.Generic.GenericArraySortHelper`1.BinarySearch(!0[],int32,int32,!0,class System.Collections.Generic.IComparer`1<!0>)",1,0,"0,11","0,00",
"System.Collections.Generic.List`1..ctor(class System.Collections.Generic.IEnumerable`1<!0>)",1,0,"0,11","0,00",
"System.Collections.Generic.SortedList`2.Add(!0,!1)",3,0,"0,32","0,00",
"System.Collections.Generic.SortedList`2.ContainsKey(!0)",1,0,"0,11","0,00",
"System.Collections.Generic.SortedList`2.IndexOfKey(!0)",1,0,"0,11","0,00",
"System.Collections.Hashtable.Contains(object)",7,0,"0,74","0,00",
"System.Collections.Hashtable.get_Item(object)",1,0,"0,11","0,00",
"System.Collections.Hashtable.InitHash(object,int32,uint32&,uint32&)",3,0,"0,32","0,00",
"System.Collections.ObjectModel.Collection`1.Add(!0)",1,0,"0,11","0,00",
"System.Collections.ObjectModel.Collection`1.Remove(!0)",4,0,"0,42","0,00",
"System.Collections.ObjectModel.ObservableCollection`1.InsertItem(int32,!0)",1,0,"0,11","0,00",
"System.Collections.ObjectModel.ObservableCollection`1.OnCollectionChanged(class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",5,0,"0,53","0,00",
"System.Collections.ObjectModel.ObservableCollection`1.RemoveItem(int32)",4,0,"0,42","0,00",
"System.Collections.Specialized.CollectionChangedEventManager.OnCollectionChanged(object,class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedModelDiscovery.CreatePartDefinitionIfDiscoverable(class System.Type,class System.ComponentModel.Composition.Primitives.ICompositionElement)",34,0,"3,58","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.<GetDeclaredOnlyImportMembers>d__22.MoveNext()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.<GetExportMembers>d__0.MoveNext()",35,0,"3,68","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.<GetImportMembers>d__18.MoveNext()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.DiscoverExportsAndImports()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.GetExportDefinitions()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.GetExports()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.GetImportDefinitions()",1,0,"0,11","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.HasExports()",34,0,"3,58","0,00",
"System.ComponentModel.Composition.AttributedModel.AttributedPartCreationInfo.IsPartDiscoverable()",34,0,"3,58","0,00",
"System.ComponentModel.Composition.ExportServices.<>c__DisplayClassa`1.<CreateStronglyTypedLazyOfT>b__7()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.ExportServices.GetCastedExportedValue(class System.ComponentModel.Composition.Primitives.Export)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.AggregateCatalog.GetExports(class System.ComponentModel.Composition.Primitives.ImportDefinition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.AggregateExportProvider.GetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.AssemblyCatalog.get_InnerCatalog()",14,0,"1,47","0,00",
"System.ComponentModel.Composition.Hosting.AssemblyCatalog.GetEnumerator()",45,0,"4,74","0,00",
"System.ComponentModel.Composition.Hosting.AssemblyCatalog.GetExports(class System.ComponentModel.Composition.Primitives.ImportDefinition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.CatalogExportProvider.CatalogExport.GetExportedValueCore()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.CatalogExportProvider.GetExportedValue(class System.ComponentModel.Composition.Hosting.CatalogExportProvider/CatalogPart,class System.ComponentModel.Composition.Primitives.ExportDefinition,bool)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.CatalogExportProvider.GetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.CatalogExportProvider.InnerCatalogExportProvider.GetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.CatalogExportProvider.InternalGetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.CompositionContainer.GetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.CompositionServices.GetExportedValueFromComposedPart(class System.ComponentModel.Composition.Hosting.ImportEngine,class System.ComponentModel.Composition.Primitives.ComposablePart,class System.ComponentModel.Composition.Primitives.ExportDefinition)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.ExportProvider.GetExports(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.ExportProvider.GetExports(string)",8,0,"0,84","0,00",
"System.ComponentModel.Composition.Hosting.ExportProvider.GetExportsCore(class System.Type,class System.Type,string,valuetype System.ComponentModel.Composition.Primitives.ImportCardinality)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.ExportProvider.GetExportsCore(string)",8,0,"0,84","0,00",
"System.ComponentModel.Composition.Hosting.ExportProvider.TryGetExportsCore(class System.ComponentModel.Composition.Primitives.ImportDefinition,class System.ComponentModel.Composition.Hosting.AtomicComposition,class System.Collections.Generic.IEnumerable`1<class System.ComponentModel.Composition.Primitives.Export>&)",7,0,"0,74","0,00",
"System.ComponentModel.Composition.Hosting.ImportEngine.PartManager.TryOnComposed()",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.ImportEngine.SatisfyImports(class System.ComponentModel.Composition.Primitives.ComposablePart)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.ImportEngine.TrySatisfyImports(class System.ComponentModel.Composition.Hosting.ImportEngine/PartManager,class System.ComponentModel.Composition.Primitives.ComposablePart,bool)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.ImportEngine.TrySatisfyImportsStateMachine(class System.ComponentModel.Composition.Hosting.ImportEngine/PartManager,class System.ComponentModel.Composition.Primitives.ComposablePart)",2,0,"0,21","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog..ctor(class System.Collections.Generic.IEnumerable`1<class System.Type>,class System.ComponentModel.Composition.Primitives.ICompositionElement)",1,0,"0,11","0,00",
"System.ComponentModel.Composition.Hosting.TypeCatalog.CreateIndex()",6,0,"0,63","0,00",
