Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"MS.Internal.FontCache.Util.get_PixelsPerDip()",8,1,"0,84","0,11",
"MS.Internal.FrameworkObject..ctor(class System.Windows.DependencyObject)",1,1,"0,11","0,11",
"MS.Internal.FrameworkObject.Reset(class System.Windows.DependencyObject)",1,1,"0,11","0,11",
"MS.Internal.MatrixUtil.MultiplyMatrix(valuetype System.Windows.Media.Matrix&,valuetype System.Windows.Media.Matrix&)",1,1,"0,11","0,11",
"MS.Internal.Media.VisualTreeUtils.AsVisual(class System.Windows.DependencyObject,class System.Windows.Media.Visual&,class System.Windows.Media.Media3D.Visual3D&)",1,1,"0,11","0,11",
"MS.Internal.Text.TextInterface.Font.GetFontFace()",1,1,"0,11","0,11",
"MS.Internal.Text.TextProperties.get_FontRenderingEmSize()",1,1,"0,11","0,11",
"MS.Internal.TextFormatting.TextFormatterImp.VerifyTextFormattingArguments(class System.Windows.Media.TextFormatting.TextSource,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextRunCache)",1,1,"0,11","0,11",
"MS.Internal.TextFormatting.TextStore.FetchLSRun(int32,valuetype System.Windows.Media.TextFormattingMode,bool,valuetype MS.Internal.TextFormatting.Plsrun&,int32&,int32&)",1,1,"0,11","0,11",
"MS.Internal.TextServicesLoader.get_ServicesInstalled()",1,1,"0,11","0,11",
"MS.Internal.TraceRoutedEvent.get_IsEnabled()",1,1,"0,11","0,11",
"MS.Internal.WeakReferenceListEnumerator.MoveNext()",3,1,"0,32","0,11",
"MS.Internal.Xaml.Context.XamlContextStack`1.get_PreviousFrame()",1,1,"0,11","0,11",
"MS.Internal.Xaml.Context.XamlContextStack`1.PushScope()",1,1,"0,11","0,11",
"MS.Internal.Xaml.Context.XamlFrame.set_Previous(class MS.Internal.Xaml.Context.XamlFrame)",1,1,"0,11","0,11",
"MS.Utility.ArrayItemList`1.Add(!0)",1,1,"0,11","0,11",
"MS.Utility.ArrayItemList`1.Add(!0)",1,1,"0,11","0,11",
"MS.Utility.FrugalStructList`1.Add(!0)",2,1,"0,21","0,11",
"MS.Utility.FrugalStructList`1.Clear()",3,1,"0,32","0,11",
"MS.Utility.FrugalStructList`1.get_Item(int32)",1,1,"0,11","0,11",
"MS.Utility.FrugalStructList`1.get_Item(int32)",1,1,"0,11","0,11",
"MS.Utility.FrugalStructList`1.IndexOf(!0)",1,1,"0,11","0,11",
"MS.Utility.ThreeItemList`1.EntryAt(int32)",1,1,"0,11","0,11",
"MS.Win32.HwndSubclass.DispatcherCallbackOperation(object)",495,1,"52,11","0,11",
"MS.Win32.UnsafeNativeMethods.GetWindowLong(valuetype System.Runtime.InteropServices.HandleRef,int32)",1,1,"0,11","0,11",
