Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
54,"System.Windows.Controls.Primitives.ButtonBase.OnClick()",155,0,"16,32","0,00","PresentationFramework.dll",
55,"System.Windows.UIElement.RaiseEvent(class System.Windows.RoutedEventArgs)",155,0,"16,32","0,00","PresentationCore.dll",
56,"System.Windows.UIElement.RaiseEventImpl(class System.Windows.DependencyObject,class System.Windows.RoutedEventArgs)",155,0,"16,32","0,00","PresentationCore.dll",
57,"System.Windows.EventRoute.InvokeHandlersImpl(object,class System.Windows.RoutedEventArgs,bool)",155,0,"16,32","0,00","PresentationCore.dll",
58,"System.Windows.RoutedEventHandlerInfo.InvokeHandler(object,class System.Windows.RoutedEventArgs)",155,0,"16,32","0,00","PresentationCore.dll",
59,"Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",113,0,"11,89","0,00","Mufasa.exe",
60,"Mufasa.BackEnd.Designer.Designer.AddFragment(string,string)",80,0,"8,42","0,00","Mufasa.exe",
61,"Mufasa.BackEnd.Designer.Designer.ParseFile(string)",61,0,"6,42","0,00","Mufasa.exe",
62,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
63,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
64,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
65,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
66,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
67,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
68,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
69,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
70,"[clr.dll]",59,0,"6,21","0,00","clr.dll",
71,"Bio.IO.SequenceParsers..cctor()",59,0,"6,21","0,00","Bio.dll",
72,"Bio.IO.SequenceParsers.GetSequenceParsers()",59,0,"6,21","0,00","Bio.dll",
73,"Bio.Registration.RegisteredAddIn.GetComposedInstancesFromAssemblyPath(string,string,string)",57,0,"6,00","0,00","Bio.dll",
74,"Bio.Registration.RegisteredAddIn.Compose(string,string,string)",56,0,"5,89","0,00","Bio.dll",
75,"Bio.Registration.RegisteredAddIn.GetCatalogForDirectoryFileSpec(string,string)",47,0,"4,95","0,00","Bio.dll",
76,"System.Linq.Queryable.Any(class System.Linq.IQueryable`1<!!0>)",45,0,"4,74","0,00","System.Core.dll",
77,"System.Linq.EnumerableQuery`1.System.Linq.IQueryProvider.Execute(class System.Linq.Expressions.Expression)",45,0,"4,74","0,00","System.Core.dll",
78,"System.Linq.EnumerableExecutor`1.Execute()",45,0,"4,74","0,00","System.Core.dll",
79,"System.Linq.Enumerable.Any(class System.Collections.Generic.IEnumerable`1<!!0>)",45,0,"4,74","0,00","System.Core.dll",
80,"System.ComponentModel.Composition.Hosting.AssemblyCatalog.GetEnumerator()",45,0,"4,74","0,00","System.ComponentModel.Composition.ni.dll",
81,"System.ComponentModel.Composition.Hosting.TypeCatalog.GetEnumerator()",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
82,"System.ComponentModel.Composition.Hosting.TypeCatalog.get_PartsInternal()",31,0,"3,26","0,00","System.ComponentModel.Composition.ni.dll",
